Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 15h-16h, 37
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 16h-17h, 116
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 17h-18h, 37
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 18h-19h, 31
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 19h-20h, 31
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 20h-21h, 44
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 15h-16h, 58
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 16h-17h, 95
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 17h-18h, 95
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 18h-19h, 178
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 19h-20h, 199
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 20h-21h, 35
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 15h-16h, 161
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 16h-17h, 140
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 17h-18h, 151
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 18h-19h, 104
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 19h-20h, 68
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 20h-21h, 47
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 15h-16h, 27
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 16h-17h, 142
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 17h-18h, 111
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 18h-19h, 51
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 19h-20h, 130
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 20h-21h, 34
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 15h-16h, 109
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 16h-17h, 70
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 17h-18h, 91
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 18h-19h, 114
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 19h-20h, 24
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 20h-21h, 19
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 15h-16h, 50
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 16h-17h, 24
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 19h-20h, 25
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 20h-21h, 15
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 15h-16h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 16h-17h, 24
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 17h-18h, 37
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 18h-19h, 85
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 19h-20h, 27
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 20h-21h, 42
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 15h-16h, 109
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 16h-17h, 53
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 17h-18h, 58
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 18h-19h, 58
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 19h-20h, 59
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 20h-21h, 29
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 15h-16h, 50
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 16h-17h, 59
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 17h-18h, 39
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 18h-19h, 22
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 19h-20h, 17
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 20h-21h, 12
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 15h-16h, 24
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 16h-17h, 72
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 17h-18h, 92
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 18h-19h, 84
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 19h-20h, 167
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 20h-21h, 35
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 15h-16h, 26
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 16h-17h, 58
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 17h-18h, 116
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 18h-19h, 107
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 19h-20h, 10
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 20h-21h, 10
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 15h-16h, 26
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 16h-17h, 32
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 17h-18h, 70
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 18h-19h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 19h-20h, 41
Av. do Contorno entre Bias Fortes e Francisco Sales, Fri, 20h-21h, 5
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 15h-16h, 39
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 16h-17h, 20
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 17h-18h, 81
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 18h-19h, 52
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 19h-20h, 47
Av. do Contorno entre Bias Fortes e Francisco Sales, Sat, 20h-21h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 15h-16h, 23
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 16h-17h, 30
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 17h-18h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 18h-19h, 4
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 19h-20h, 17
Av. do Contorno entre Bias Fortes e Francisco Sales, Sun, 20h-21h, 15
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 15h-16h, 72
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 16h-17h, 9
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 17h-18h, 13
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 18h-19h, 5
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 19h-20h, 83
Av. do Contorno entre Bias Fortes e Francisco Sales, Mon, 20h-21h, 6
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 15h-16h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 16h-17h, 14
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 17h-18h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 18h-19h, 16
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 19h-20h, 0
Av. do Contorno entre Bias Fortes e Francisco Sales, Tue, 20h-21h, 39
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 15h-16h, 11
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 16h-17h, 90
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 17h-18h, 67
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 18h-19h, 45
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 19h-20h, 84
Av. do Contorno entre Bias Fortes e Francisco Sales, Wed, 20h-21h, 56
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 15h-16h, 36
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 16h-17h, 31
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 17h-18h, 118
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 18h-19h, 88
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 19h-20h, 96
Av. do Contorno entre Bias Fortes e Francisco Sales, Thu, 20h-21h, 0
