Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 16h-17h, 11
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 17h-18h, 10
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 20h-21h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 67
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 76
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 30
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 56
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 19h-20h, 17
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 21
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 43
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 79
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 52
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 32
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 33
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 30
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 16
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 88
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 47
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 51
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 132
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 203
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 71
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 39
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 19h-20h, 18
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 20h-21h, 44
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 15h-16h, 21
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 16h-17h, 28
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 17h-18h, 70
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 18h-19h, 81
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 19h-20h, 40
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 20h-21h, 16
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 15h-16h, 38
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 16h-17h, 7
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 17h-18h, 25
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 18h-19h, 7
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 19h-20h, 19
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 20h-21h, 7
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 15h-16h, 40
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 17h-18h, 39
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 18h-19h, 0
