Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 27
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 29
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 59
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 64
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 55
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 120
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 40
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 26
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 80
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 61
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 107
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 112
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 51
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 15
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 126
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 143
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 257
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 121
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 140
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 112
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 86
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 67
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 127
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 83
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 65
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 27
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 94
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 48
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 102
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 88
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 42
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 9
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 17h-18h, 29
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 18h-19h, 7
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 34
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 31
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 11
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 31
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 36
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 85
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 162
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 139
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 41
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 4
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 46
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 62
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 92
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 119
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 43
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 82
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 102
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 95
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 195
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 117
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 5
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 62
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 82
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 99
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 92
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 77
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 20
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 128
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 73
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 65
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 40
