Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 17
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 25
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 76
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 79
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 61
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 33
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 34
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 71
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 30
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 3
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 39
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 13
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 51
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 15
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 31
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 3
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 1
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 12
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 48
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 47
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 52
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 111
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 11
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 8
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 46
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 32
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 108
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 57
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 73
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 2
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 1
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 39
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 105
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 79
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 21
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 44
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 28
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 75
Av. do Contorno entre Gutierrez e Savassi, Thu, 18h-19h, 132
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 59
Av. do Contorno entre Gutierrez e Savassi, Thu, 20h-21h, 22
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 55
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 80
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 57
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 34
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 74
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 51
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 18h-19h, 28
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 18
Av. do Contorno entre Gutierrez e Savassi, Sat, 20h-21h, 8
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 12
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 26
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 33
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 49
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 38
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 14
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 0
