Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 66
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 28
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 19h-20h, 43
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 22
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 8
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 53
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 14
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 141
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 115
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 28
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 17
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 43
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 45
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 14
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 49
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 16
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 23
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 18h-19h, 65
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 19h-20h, 134
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 20h-21h, 40
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 15h-16h, 10
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 17h-18h, 26
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 18h-19h, 31
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 20h-21h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 15h-16h, 20
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 19h-20h, 27
Av. do Contorno entre Francisco Sales e Afonso Pena, Sat, 20h-21h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 17h-18h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 18h-19h, 13
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Sun, 20h-21h, 24
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 15h-16h, 27
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 16h-17h, 46
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 17h-18h, 60
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 18h-19h, 72
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Mon, 20h-21h, 58
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 15h-16h, 22
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 17h-18h, 41
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 18h-19h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 19h-20h, 9
Av. do Contorno entre Francisco Sales e Afonso Pena, Tue, 20h-21h, 24
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 15h-16h, 34
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 16h-17h, 12
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 17h-18h, 44
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 18h-19h, 106
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 19h-20h, 100
Av. do Contorno entre Francisco Sales e Afonso Pena, Wed, 20h-21h, 33
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 15h-16h, 28
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 16h-17h, 78
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 17h-18h, 38
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 18h-19h, 41
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 19h-20h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Thu, 20h-21h, 39
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 15h-16h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 16h-17h, 0
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 17h-18h, 33
Av. do Contorno entre Francisco Sales e Afonso Pena, Fri, 18h-19h, 0
