Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 31
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 88
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 72
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 151
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 12
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 31
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 73
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 57
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 106
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 100
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 20
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 80
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 83
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 91
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 137
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 2
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 23
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 8
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 17h-18h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 18h-19h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 12
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 5
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 7
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 53
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 71
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 179
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 156
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 42
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 31
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 15h-16h, 98
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 16h-17h, 84
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 17h-18h, 158
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 18h-19h, 124
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 19h-20h, 110
Av. do Contorno entre Gutierrez e Bias Fortes, Tue, 20h-21h, 16
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 15h-16h, 56
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 16h-17h, 125
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 17h-18h, 152
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 18h-19h, 192
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 19h-20h, 102
Av. do Contorno entre Gutierrez e Bias Fortes, Wed, 20h-21h, 10
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 15h-16h, 123
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 16h-17h, 80
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 17h-18h, 163
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 18h-19h, 180
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 19h-20h, 79
Av. do Contorno entre Gutierrez e Bias Fortes, Thu, 20h-21h, 19
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 15h-16h, 114
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 16h-17h, 161
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 17h-18h, 99
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 18h-19h, 123
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 19h-20h, 87
Av. do Contorno entre Gutierrez e Bias Fortes, Fri, 20h-21h, 6
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 15h-16h, 30
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 16h-17h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 17h-18h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 18h-19h, 18
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sat, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 19h-20h, 13
Av. do Contorno entre Gutierrez e Bias Fortes, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 15h-16h, 72
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 16h-17h, 47
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 17h-18h, 135
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 18h-19h, 69
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 19h-20h, 21
Av. do Contorno entre Gutierrez e Bias Fortes, Mon, 20h-21h, 8
