Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 80
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 62
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 20
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 9
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 24
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 67
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 166
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 30
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 29
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 12
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 105
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 61
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 98
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 33
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 32
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 54
Av. do Contorno entre Gutierrez e Savassi, Thu, 18h-19h, 78
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 50
Av. do Contorno entre Gutierrez e Savassi, Thu, 20h-21h, 5
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 15
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 40
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 76
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 29
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 20h-21h, 13
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 8
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 18
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 54
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 52
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 11
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 8
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 7
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 45
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 53
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 43
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 5
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 47
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 28
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 58
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 110
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 46
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 42
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 47
Av. do Contorno entre Gutierrez e Savassi, Thu, 18h-19h, 95
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 31
Av. do Contorno entre Gutierrez e Savassi, Thu, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 19
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 11
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 21
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 48
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 17h-18h, 3
Av. do Contorno entre Gutierrez e Savassi, Sat, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 8
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 1
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 5
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 3
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 8
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 6
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 8
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 11
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 24
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 53
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 48
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 22
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 2
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 37
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 73
Av. do Contorno entre Gutierrez e Savassi, Thu, 18h-19h, 46
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 60
Av. do Contorno entre Gutierrez e Savassi, Thu, 20h-21h, 1
