Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 15h-16h, 22
Av. do Contorno entre Gutierrez e Savassi, Mon, 16h-17h, 8
Av. do Contorno entre Gutierrez e Savassi, Mon, 17h-18h, 12
Av. do Contorno entre Gutierrez e Savassi, Mon, 18h-19h, 63
Av. do Contorno entre Gutierrez e Savassi, Mon, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Mon, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Tue, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, Tue, 16h-17h, 1
Av. do Contorno entre Gutierrez e Savassi, Tue, 17h-18h, 25
Av. do Contorno entre Gutierrez e Savassi, Tue, 18h-19h, 83
Av. do Contorno entre Gutierrez e Savassi, Tue, 19h-20h, 25
Av. do Contorno entre Gutierrez e Savassi, Tue, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, Wed, 15h-16h, 41
Av. do Contorno entre Gutierrez e Savassi, Wed, 16h-17h, 47
Av. do Contorno entre Gutierrez e Savassi, Wed, 17h-18h, 138
Av. do Contorno entre Gutierrez e Savassi, Wed, 18h-19h, 72
Av. do Contorno entre Gutierrez e Savassi, Wed, 19h-20h, 55
Av. do Contorno entre Gutierrez e Savassi, Wed, 20h-21h, 52
Av. do Contorno entre Gutierrez e Savassi, Thu, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Thu, 16h-17h, 35
Av. do Contorno entre Gutierrez e Savassi, Thu, 17h-18h, 91
Av. do Contorno entre Gutierrez e Savassi, Thu, 18h-19h, 59
Av. do Contorno entre Gutierrez e Savassi, Thu, 19h-20h, 63
Av. do Contorno entre Gutierrez e Savassi, Thu, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Fri, 16h-17h, 26
Av. do Contorno entre Gutierrez e Savassi, Fri, 17h-18h, 57
Av. do Contorno entre Gutierrez e Savassi, Fri, 18h-19h, 85
Av. do Contorno entre Gutierrez e Savassi, Fri, 19h-20h, 13
Av. do Contorno entre Gutierrez e Savassi, Fri, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 18h-19h, 3
Av. do Contorno entre Gutierrez e Savassi, Sat, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Sat, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, Sun, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Sun, 18h-19h, 0
