Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 17
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 25
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 76
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 79
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 61
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 33
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 34
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 71
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 30
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 3
Av. do Contorno entre Gutierrez e Savassi, Dom f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, Dom f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 39
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 13
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 51
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 15
Av. do Contorno entre Gutierrez e Savassi, 4a f, 19h-20h, 31
Av. do Contorno entre Gutierrez e Savassi, 4a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 15h-16h, 22
Av. do Contorno entre Gutierrez e Savassi, 2a f, 16h-17h, 8
Av. do Contorno entre Gutierrez e Savassi, 2a f, 17h-18h, 12
Av. do Contorno entre Gutierrez e Savassi, 2a f, 18h-19h, 63
Av. do Contorno entre Gutierrez e Savassi, 2a f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, 2a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 3
Av. do Contorno entre Gutierrez e Savassi, 3a f, 15h-16h, 9
Av. do Contorno entre Gutierrez e Savassi, 3a f, 16h-17h, 1
Av. do Contorno entre Gutierrez e Savassi, 3a f, 17h-18h, 25
Av. do Contorno entre Gutierrez e Savassi, 3a f, 18h-19h, 83
Av. do Contorno entre Gutierrez e Savassi, 3a f, 19h-20h, 25
Av. do Contorno entre Gutierrez e Savassi, 3a f, 20h-21h, 1
Av. do Contorno entre Gutierrez e Savassi, 6a f, 15h-16h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 16h-17h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 17h-18h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 18h-19h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 19h-20h, 0
Av. do Contorno entre Gutierrez e Savassi, 6a f, 20h-21h, 0
Av. do Contorno entre Gutierrez e Savassi, 4a f, 15h-16h, 41
Av. do Contorno entre Gutierrez e Savassi, 4a f, 16h-17h, 47
Av. do Contorno entre Gutierrez e Savassi, 4a f, 17h-18h, 138
Av. do Contorno entre Gutierrez e Savassi, 4a f, 18h-19h, 72
